"function","package","lecture","version","alias","doc"
"facet_wrap","ggplot2",2,"3.3.6","facet_wrap","https://www.rdocumentation.org/packages/ggplot2/versions/3.3.6/topics/facet_wrap"
"geom_text","ggplot2",2,"0.9.1","geom_text","https://www.rdocumentation.org/packages/ggplot2/versions/0.9.1/topics/geom_text"
"geom_line","ggplot2",2,"3.3.6","geom_path","https://www.rdocumentation.org/packages/ggplot2/versions/3.3.6/topics/geom_path"
"geom_bar","ggplot2",2,"3.3.6","geom_bar","https://www.rdocumentation.org/packages/ggplot2/versions/3.3.6/topics/geom_bar"
"reorder","stats",2,"3.6.2","reorder.default","https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/reorder.default"
"geom_histogram","ggplot2",2,"0.9.1","geom_histogram","https://www.rdocumentation.org/packages/ggplot2/versions/0.9.1/topics/geom_histogram"
"geom_density","ggplot2",2,"3.3.6","geom_density","https://www.rdocumentation.org/packages/ggplot2/versions/3.3.6/topics/geom_density"
"geom_violin","ggplot2",2,"3.3.6","geom_violin","https://www.rdocumentation.org/packages/ggplot2/versions/3.3.6/topics/geom_violin"
"geom_boxplot","ggplot2",2,"3.3.6","geom_boxplot","https://www.rdocumentation.org/packages/ggplot2/versions/3.3.6/topics/geom_boxplot"
"theme_void","ggplot2",2,"3.3.6","ggtheme","https://www.rdocumentation.org/packages/ggplot2/versions/3.3.6/topics/ggtheme"
"geom_area","ggplot2",2,"3.3.6","geom_ribbon","https://www.rdocumentation.org/packages/ggplot2/versions/3.3.6/topics/geom_ribbon"
"kable","knitr",3,"1.39","kable","https://www.rdocumentation.org/packages/knitr/versions/1.39/topics/kable"
"datatable","DT",3,"0.24","datatable","https://www.rdocumentation.org/packages/DT/versions/0.24/topics/datatable"
"render","rmarkdown",3,"2.15","render","https://www.rdocumentation.org/packages/rmarkdown/versions/2.15/topics/render"
"paste0","base",3,"3.6.2","paste","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/paste"
"lm","stats",4,"3.6.2","lm","https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/lm"
"summary","base",4,"3.6.2","summary","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/summary"
"geom_smooth","ggplot2",4,"3.3.6","geom_smooth","https://www.rdocumentation.org/packages/ggplot2/versions/3.3.6/topics/geom_smooth"
"cov","stats",4,"3.6.2","cor","https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/cor"
"var","stats",4,"3.6.2","cor","https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/cor"
"unique","base",4,"3.6.2","unique","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/unique"
"relevel","stats",4,"3.6.2","relevel","https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/relevel"
"as.factor","base",4,"3.6.2","factor","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/factor"
"levels","base",4,"3.6.2","levels","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/levels"
"as.matrix","base",4,"3.6.2","matrix","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/matrix"
"dim","base",4,"3.6.2","dim","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/dim"
"t","base",4,"3.6.2","t","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/t"
"solve","base",4,"3.6.2","solve","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/solve"
"log","base",4,"3.6.2","log","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/log"
"poly","stats",4,"3.6.2","poly","https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/poly"
"pt","stats",4,"3.6.2","TDist","https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/TDist"
"abs","base",4,"3.6.2","MathFun","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/MathFun"
"linearHypothesis","car",4,"3.1-0","linearHypothesis","https://www.rdocumentation.org/packages/car/versions/3.1-0/topics/linearHypothesis"
"qt","stats",4,"3.6.2","TDist","https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/TDist"
"huxreg","huxtable",4,"5.5.0","huxreg","https://www.rdocumentation.org/packages/huxtable/versions/5.5.0/topics/huxreg"
"quick_latex","huxtable",4,"5.5.0","quick-output","https://www.rdocumentation.org/packages/huxtable/versions/5.5.0/topics/quick-output"
"quick_pdf","huxtable",4,"5.5.0","quick-output","https://www.rdocumentation.org/packages/huxtable/versions/5.5.0/topics/quick-output"
"quick_html","huxtable",4,"5.5.0","quick-output","https://www.rdocumentation.org/packages/huxtable/versions/5.5.0/topics/quick-output"
"quick_docx","huxtable",4,"5.5.0","quick-output","https://www.rdocumentation.org/packages/huxtable/versions/5.5.0/topics/quick-output"
"insert_row","huxtable",4,"5.5.0","insert_column","https://www.rdocumentation.org/packages/huxtable/versions/5.5.0/topics/insert_column"
"merge_cells","huxtable",4,"5.5.0","merge_cells","https://www.rdocumentation.org/packages/huxtable/versions/5.5.0/topics/merge_cells"
"rep","base",4,"3.6.2","rep","https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/rep"
"plot_summs","jtools",4,"2.2.0","plot_summs","https://www.rdocumentation.org/packages/jtools/versions/2.2.0/topics/plot_summs"
