Date,Mar 5,Mar 6,Mar 7,Mar 8,Mar 9,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 1,Apr 2,Apr 3,Apr 4,Apr 5,Apr 6,Apr 7,Apr 8,Apr 9
Daily tests,258,710,376,637,1240,680,2549,2194,6217,3997,6302,14326,13682,21182,25743,35383,44814,46219,55331,66390,83537,96391,110649,107953,93087,118448,107172,103532,121798,132201,229287,122601,149227,148072,139584,162015
Cumulative tests,1174,1884,2260,2897,4137,4817,7366,9560,15777,19774,26076,40402,54084,75266,101009,136392,181206,227425,282756,349146,432683,529074,639723,747676,840763,959211,1066383,1169915,1291713,1423914,1653201,1775802,1925029,2073101,2212685,2374700
